journal;volume;year;isbn;pages
Comput. Educ.;102;2016;1-82868-779-0;386
Inf. Soc.;24;2008;0-12-884720-4;157
Eur. J. Oper. Res.;295;2021;0-459-27634-4;304
SIAM Rev.;34;1992;0-598-27826-5;284
Comput. Sci. Rev.;6;2012;0-579-60206-0;381
CoRR;abs/2101.07897;2021;0-7750-4150-5;332
IEEE Trans. Haptics;11;2018;0-927520-11-7;362
J. Circuits Syst. Comput.;19;2010;0-462-49222-2;342
J. Database Manag.;30;2019;0-444-61362-5;283
Mach. Learn.;31;1998;0-8428-4724-3;156
Distributed Comput.;8;1995;1-957392-79-7;155
CoRR;abs/2005.07472;2020;1-7332488-2-X;101
Robotics Auton. Syst.;75;2016;1-185-02293-7;193
J. Quant. Linguistics;4;1997;1-04-991873-8;346
ACM Trans. Embed. Comput. Syst.;19;2020;1-5218-6275-3;151
Soc. Netw. Anal. Min.;10;2020;1-74382-709-1;100
Comput. Secur.;24;2005;0-9610443-7-3;201
Comput. J.;33;1990;1-266-60350-6;126
Int. J. Knowl. Eng. Data Min.;5;2018;1-140-16792-8;130
IEEE Data Eng. Bull.;28;2005;0-552-27958-7;194
ACM SIGCSE Bull.;12;1980;0-903218-96-8;256
J. Appl. Non Class. Logics;7;1997;0-234-32101-6;352
Inf. Process. Manag.;59;2022;0-484-06187-9;131
CoRR;abs/2003.09574;2020;0-603-10987-X;156
SoftwareX;6;2017;0-417-64827-8;201
Comput. Aided Des.;23;1991;1-957469-80-3;170
Vis. Comput.;34;2018;0-283-21921-1;156
J. Syst. Softw.;45;1999;0-7537-5002-3;163
Int. J. Data Anal. Tech. Strateg.;3;2011;1-308-69901-8;254
Comput. Methods Appl. Math.;19;2019;1-357-64637-2;349
Ann. Oper. Res.;41;1993;1-5414-8156-9;348
Sci. Comput. Program.;76;2011;0-551-73431-0;102
CoRR;abs/1410.2833;2014;1-9855-0773-0;255
CoRR;abs/1401.5775;2014;0-7318-7819-1;135
CoRR;abs/1801.06450;2018;0-00-084371-7;203
Comput. Secur.;83;2019;1-5420-2833-7;395
Wirel. Pers. Commun.;86;2016;0-485-63100-8;236
RFC;5341;2008;1-225-12245-7;269
Egypt. Comput. Sci. J.;22;2000;0-7172-6138-7;328
CoRR;abs/2105.06016;2021;0-240-79063-4;191
J. Am. Soc. Inf. Sci.;34;1983;0-19-358818-8;201
Pattern Recognit. Lett.;140;2020;0-7890-0072-5;163
Comput. Vis. Image Underst.;113;2009;0-19-995551-4;100
J. Am. Soc. Inf. Sci.;39;1988;1-68090-653-4;242
J. Intell. Fuzzy Syst.;29;2015;0-7121-1384-3;351
CoRR;abs/1006.2433;2010;0-238-30777-8;394
ACM Trans. Math. Softw.;45;2019;1-86369-804-3;160
Nucleic Acids Res.;20;1992;1-339-26712-8;153
J. Comput. Phys.;368;2018;0-7914-3406-0;394
CoRR;abs/2101.05500;2021;1-68385-758-5;297
CoRR;abs/1003.1931;2010;0-9537370-5-5;233
CoRR;abs/2105.09641;2021;1-03-675211-9;126
Comput. Aided Geom. Des.;19;2002;0-248-54282-6;354
CoRR;abs/1612.04061;2016;0-274-72290-9;364
Discret. Math.;139;1995;1-4686-5058-0;346
CoRR;abs/2112.02843;2021;1-4849-8181-2;293
BMC Bioinform.;4;2003;0-12-901383-8;373
SIGIR Forum;52;2018;0-9904899-9-X;265
CoRR;abs/1402.1012;2014;1-163-25499-1;369
CoRR;abs/2103.10390;2021;1-323-25158-8;225
Math. Comput. Simul.;81;2010;0-7703-3614-0;192
Comput. Stand. Interfaces;38;2015;1-07-338184-6;361
Comput. Oper. Res.;92;2018;0-587-66966-7;151
CoRR;abs/1507.04674;2015;0-9755576-2-9;254
IEEE Trans. Evol. Comput.;6;2002;0-316-68914-9;397
IEICE Trans. Commun.;91-B;2008;1-69807-066-7;400
Expert Syst. Appl.;181;2021;1-966842-89-9;382
RFC;5430;2009;1-5177-1992-5;245
CoRR;abs/1301.1415;2013;0-554-96485-6;100
IEEE Trans. Instrum. Meas.;60;2011;0-08-033939-5;249
CoRR;abs/2106.14621;2021;0-911621-70-9;382
J. Intell. Manuf.;13;2002;1-365-98514-8;318
CoRR;abs/1905.06238;2019;0-7090-2782-6;293
Nucleic Acids Res.;7;1979;1-287-94306-3;261
ACM Trans. Design Autom. Electr. Syst.;7;2002;0-18-908501-0;336
CoRR;abs/2112.05311;2021;1-01-337232-8;317
Clust. Comput.;5;2002;1-956102-09-4;369
Discret. Math.;271;2003;1-4661-7225-8;160
CoRR;abs/1804.10878;2018;0-340-11889-X;327
Int. J. Agent Technol. Syst.;4;2012;1-08-781876-1;395
J. Softw.;6;2011;1-233-95403-2;164
ACM Trans. Graph.;39;2020;1-924857-41-3;380
Cybern. Syst.;46;2015;0-8212-2627-4;278
Comput. Linguistics;19;1993;0-486-75825-7;166
SIGMOD Rec.;43;2014;0-335-81794-7;210
IEEE Trans. Multim.;10;2008;0-274-15226-6;254
J. Documentation;60;2004;0-201-94403-0;134
Künstliche Intell.;18;2004;1-9764-7822-7;372
Knowl. Inf. Syst.;64;2022;1-83122-903-X;297
ACM Trans. Archit. Code Optim.;16;2020;0-371-08687-6;137
Appl. Intell.;48;2018;1-59849-417-1;347
CoRR;abs/1907.00652;2019;1-63306-401-8;324
Kognitionswissenschaft;9;2000;0-434-84036-X;103
Int. J. Approx. Reason.;48;2008;0-02-191360-9;118
Int. J. Humanoid Robotics;2;2005;0-271-25561-7;352
Digit. Signal Process.;71;2017;0-227-83399-6;101
J. Comput. Appl. Math.;236;2011;0-290-29000-7;128
Comput. Environ. Urban Syst.;36;2012;1-7396113-6-5;198
Public Libr. Q.;25;2006;1-329-32049-2;359
J. Intell. Inf. Syst.;49;2017;0-8243-3137-0;293
Int. J. Hum. Comput. Stud.;58;2003;1-346-50261-7;365
CoRR;abs/1211.5708;2012;1-57910-896-2;176
Netw. Secur.;2018;2018;1-81234-979-3;204
Int. J. Law Inf. Technol.;11;2003;1-4163-9031-6;185
CoRR;abs/2011.05203;2020;1-360-56571-X;132
CoRR;abs/1708.09667;2017;1-77526-771-7;357
Frontiers Res. Metrics Anal.;6;2021;0-344-34886-5;274
CoRR;abs/2101.08438;2021;1-222-79316-4;384
Mob. Networks Appl.;26;2021;0-377-96138-8;221
Digit. Signal Process.;21;2011;0-602-60286-6;260
Neurocomputing;322;2018;0-18-648818-1;396
BMC Bioinform.;9;2008;1-397-03654-0;382
EAI Endorsed Trans. Scalable Inf. Syst.;5;2018;0-7668-7617-9;290
J. Strateg. Inf. Syst.;26;2017;0-581-87774-8;248
CoRR;abs/2101.12289;2021;1-149-84465-5;276
SIGACT News;39;2008;1-67513-321-2;344
Res. Comput. Sci.;88;2014;0-326-07638-7;195
Autom.;42;2006;0-280-09048-X;275
Connect. Sci.;6;1994;0-252-76212-6;279
Commun. ACM;8;1965;1-204-86701-1;240
Int. J. Math. Oper. Res.;10;2017;1-5337-8101-X;312
Fuzzy Sets Syst.;164;2011;0-551-09492-3;235
Eur. J. Oper. Res.;136;2002;0-285-08478-X;117
Inf. Process. Manag.;54;2018;1-380-44802-6;265
CoRR;abs/1102.2700;2011;0-580-81962-0;282
CoRR;abs/2105.09013;2021;1-69754-153-4;225
J. Autom. Reason.;34;2005;1-05-736549-1;211
IEEE Consumer Electron. Mag.;4;2015;0-906167-88-4;303
Reliab. Eng. Syst. Saf.;175;2018;1-01-337553-X;276
J. Artif. Soc. Soc. Simul.;13;2010;1-04-975270-8;234
CoRR;abs/cs/0701154;2007;1-59175-608-1;342
Int. J. Bus. Process. Integr. Manag.;7;2014;1-04-764975-6;231
J. Adv. Comput. Intell. Intell. Informatics;12;2008;0-361-95358-5;324
Opt. Switch. Netw.;28;2018;1-00-859763-5;355
CoRR;abs/1006.4388;2010;1-71901-422-1;332
Perform. Evaluation;91;2015;1-02-811862-7;345
Theor. Comput. Sci.;316;2004;1-201-31298-1;122
J. Sci. Comput.;67;2016;0-348-39709-7;209
Oper. Res.;47;1999;1-906678-44-8;364
J. Log. Algebraic Methods Program.;63;2005;1-83484-226-3;343
Electron. Mark.;11;2001;0-7060-1186-4;354
Comput. Stat.;25;2010;1-58828-358-5;280
CoRR;abs/1607.01059;2016;1-80319-622-X;364
Comput. Commun.;32;2009;0-508-85391-5;305
J. Netw. Comput. Appl.;60;2016;0-11-873174-2;377
CoRR;abs/2104.07611;2021;0-7546-0080-7;255
SIGMETRICS Perform. Evaluation Rev.;29;2001;0-943815-72-X;125
INFOR Inf. Syst. Oper. Res.;46;2008;0-358-80107-9;381
CoRR;abs/2107.07623;2021;1-958497-76-2;150
CoRR;abs/2111.09098;2021;1-85346-951-3;238
CoRR;abs/0804.3599;2008;1-81754-125-0;390
CoRR;abs/2111.13839;2021;1-927116-70-8;318
CoRR;abs/2103.10626;2021;0-362-61942-5;196
CoRR;abs/1602.04421;2016;1-249-29921-7;293
CoRR;abs/2009.14045;2020;1-230-91571-0;349
Inf. Sci.;59;1992;0-922398-84-4;316
Comput. Commun.;30;2007;1-08-621198-7;220
Argument Comput.;4;2013;1-895146-56-9;128
Informatics Educ.;18;2019;1-79213-562-9;343
Wirtschaftsinf.;51;2009;1-269-95222-6;108
Web Intell. Agent Syst.;8;2010;1-5267-8769-5;104
CoRR;abs/2102.07215;2021;1-5176-5505-6;289
IEEE Commun. Lett.;11;2007;0-292-94915-4;265
CoRR;abs/1208.1969;2012;0-87682-014-3;350
Int. J. Web Serv. Res.;1;2004;1-9866-8596-9;120
Int. J. Speech Technol.;8;2005;1-907322-25-6;230
Comput. Aided Geom. Des.;52;2017;1-149-69170-0;316
CoRR;abs/2011.11898;2020;1-06-157685-X;101
CoRR;abs/1804.02074;2018;1-67861-425-4;128
Future Internet;12;2020;1-239-20296-2;355
CoRR;abs/2005.10091;2020;0-666-12044-7;227
Int. J. Comput. Vis.;74;2007;0-7338-4687-4;394
Wirel. Pers. Commun.;109;2019;0-593-62775-X;188
IEEE Trans. Circuits Syst. Video Technol.;7;1997;0-08-740258-0;365
Theor. Comput. Sci.;92;1992;0-345-57472-9;370
Int. J. Artif. Intell. Tools;23;2014;0-324-98059-0;353
J. Robotics Mechatronics;10;1998;1-4844-5586-X;322
Algorithmica;15;1996;0-650-63267-2;269
Commun. Assoc. Inf. Syst.;30;2012;1-83367-965-2;153
Notre Dame J. Formal Log.;50;2009;0-8494-2246-9;311
CoRR;abs/1705.11122;2017;1-302-41204-3;173
CoRR;abs/2004.02421;2020;1-5066-8246-4;263
IEEE Open J. Circuits Syst.;1;2020;0-939385-53-8;250
J. Econ. Theory;194;2021;0-652-82198-7;153
ACM Trans. Comput. Hum. Interact.;2;1995;0-9891201-4-7;298
IET Signal Process.;8;2014;1-176-16253-5;107
Informatica;29;2018;0-00-929512-7;378
Int. J. High Speed Comput.;4;1992;1-78232-584-0;370
J. Softw.;8;2013;0-7446-8688-1;124
Oper. Res.;29;1981;1-9737-0930-9;314
CoRR;abs/2106.14784;2021;1-65391-285-5;115
Glottometrics;20;2010;0-461-69913-3;336
Int. J. Comput. Assist. Radiol. Surg.;15;2020;1-79521-749-9;230
IEEE J. Biomed. Health Informatics;24;2020;1-5190-2145-3;228
Parallel Algorithms Appl.;9;1996;1-03-870963-6;149
IEEE J. Solid State Circuits;56;2021;0-583-26713-0;358
Math. Log. Q.;60;2014;1-9739-1569-3;351
Inf. Technol. Manag.;7;2006;1-318-54315-0;141
Eng. Appl. Artif. Intell.;62;2017;0-7145-6057-X;198
CoRR;abs/1112.3782;2011;1-08-841595-4;319
CoRR;abs/2102.09974;2021;1-944784-05-5;147
Multidimens. Syst. Signal Process.;23;2012;0-573-89989-4;114
J. Documentation;77;2021;0-927187-87-6;118
Int. J. Manuf. Res.;9;2014;1-883817-50-1;162
Int. J. Soc. Robotics;14;2022;1-311-65440-2;395
PLoS Comput. Biol.;2;2006;0-02-265688-X;113
CoRR;abs/2105.07298;2021;1-191-32294-7;225
CoRR;abs/2008.03824;2020;0-10-542826-4;323
LISP Symb. Comput.;3;1990;0-949855-41-3;330
Adv. Data Anal. Classif.;6;2012;1-5320-5698-2;191
Int. J. Man Mach. Stud.;36;1992;0-226-56090-2;193
CoRR;abs/1512.05691;2015;1-361-13541-7;374
计算机科学;42;2015;0-315-97456-7;318
Inf. Process. Lett.;30;1989;0-230-39506-6;323
ACM SIGSOFT Softw. Eng. Notes;21;1996;0-295-41320-4;105
Soft Comput.;23;2019;0-577-73313-3;334
CoRR;abs/1212.6273;2012;1-80163-146-8;100
CoRR;cs.CV/0311012;2003;0-482-66549-1;180
IEEE Robotics Autom. Mag.;26;2019;0-7611-0615-4;184
ACM Trans. Softw. Eng. Methodol.;5;1996;0-324-76848-6;209
Math. Program.;116;2009;0-239-47353-1;144
CoRR;abs/2102.00785;2021;1-58609-323-1;237
Asymptot. Anal.;102;2017;1-4754-6910-1;323
Int. J. Satell. Commun. Netw.;31;2013;1-85387-344-6;126
Decis. Support Syst.;23;1998;0-672-36526-X;182
CoRR;abs/2010.09629;2020;0-392-64902-0;191
J. Inf. Technol.;14;1999;0-673-15713-X;364
IEEE Trans. Computers;58;2009;1-5051-9571-3;303
J. Grid Comput.;13;2015;1-85241-970-9;146
J. Math. Log.;20;2020;0-298-92656-3;247
CoRR;abs/2009.09879;2020;1-928996-58-2;207
IEICE Electron. Express;15;2018;1-77755-732-1;329
Comput. J.;37;1994;0-306-10093-2;386
IEEE Commun. Mag.;25;1987;0-7761-6565-8;346
Nucleic Acids Res.;45;2017;1-56609-720-7;400
IEEE Trans. Speech Audio Process.;4;1996;0-370-09420-4;385
Comput. J.;55;2012;0-481-81997-5;202
ACM Trans. Model. Comput. Simul.;22;2012;1-67852-285-6;282
ACM Trans. Multim. Comput. Commun. Appl.;16;2020;0-7006-5633-2;303
CoRR;abs/1704.05513;2017;0-12-751908-4;208
Graph. Model.;69;2007;0-591-73235-1;382
Int. J. Reconfigurable Comput.;2010;2010;1-72171-324-7;378
J. Electron. Test.;28;2012;0-460-69723-4;159
CoRR;abs/2005.13270;2020;0-8166-8408-1;336
Comput. Chem. Eng.;139;2020;0-8492-2726-7;123
IEEE Trans. Syst. Man Cybern. Part B;31;2001;1-264-06404-7;304
IEEE Trans. Multim.;19;2017;1-397-33937-3;289
J. Comput. Appl. Math.;375;2020;1-905809-44-1;339
CoRR;abs/1511.00916;2015;1-121-06067-6;342
J. Digit. Inf. Manag.;3;2005;1-4619-3788-4;312
CoRR;abs/1911.06455;2019;1-66676-685-2;316
CoRR;abs/1901.08045;2019;0-12-733969-8;344
IEEE Trans. Vis. Comput. Graph.;8;2002;0-457-36084-4;123
Ad Hoc Networks;96;2020;1-4719-3002-5;169
CoRR;abs/1810.05703;2018;1-9785-7031-7;342
IEEE Secur. Priv.;7;2009;1-05-871679-4;182
Appl. Intell.;27;2007;1-313-24030-3;121
CoRR;abs/2103.16424;2021;0-00-755703-5;153
Pattern Recognit. Lett.;33;2012;1-7356117-7-8;241
CoRR;abs/1409.0203;2014;1-4582-8204-X;267
J. Lond. Math. Soc.;87;2013;0-595-28358-6;331
CoRR;abs/2010.01757;2020;1-85160-367-0;264
Math. Program.;126;2011;0-89863-217-X;196
CoRR;abs/2010.00382;2020;0-353-53104-9;215
Elektron. Rechenanlagen;20;1978;0-7125-3233-1;114
Math. Oper. Res.;9;1984;0-287-31975-X;255
Future Internet;11;2019;1-01-530494-X;334
J. Comput. Phys.;401;2020;0-8161-3388-3;227
J. Intell. Robotic Syst.;19;1997;0-515-40610-4;263
Int. Trans. Oper. Res.;16;2009;1-57847-117-6;335
IEEE Wirel. Commun. Lett.;5;2016;1-61393-940-X;285
Int. J. Syst. Assur. Eng. Manag.;5;2014;1-79595-681-X;318
J. Cogn. Neurosci.;26;2014;1-58038-247-9;233
J. Comput. Phys.;342;2017;1-55885-470-3;109
ACM Trans. Design Autom. Electr. Syst.;13;2008;1-199-98907-X;142
Digit. Signal Process.;118;2021;0-212-20551-X;366
Biol. Cybern.;66;1991;0-02-124034-5;266
IBM J. Res. Dev.;49;2005;0-19-176947-9;333
J. Comput. Biol.;18;2011;1-897665-31-8;244
Discret. Math.;309;2009;1-5358-1653-8;216
Lit. Linguistic Comput.;26;2011;1-256-43538-4;345
CoRR;abs/2007.10215;2020;1-205-86697-3;207
Int. J. Inf. Syst. Soc. Chang.;2;2011;1-77011-765-2;244
IEEE Parallel Distributed Technol. Syst. Appl.;2;1994;0-305-78136-7;125
CoRR;abs/2008.02543;2020;1-80289-344-X;154
Int. J. Web Eng. Technol.;11;2016;1-897317-82-4;112
CoRR;abs/2103.05678;2021;1-67957-588-0;264
Cogn. Syst. Res.;29-30;2014;0-589-60373-6;331
J. Comput. Sci.;2;2011;0-15-266904-3;324
Int. J. Art Cult. Des. Technol.;8;2019;0-7718-4884-6;139
IEEE Softw.;9;1992;1-4799-7422-6;120
RFC;455;1973;0-352-11324-3;262
Ind. Robot;41;2014;1-04-238530-0;128
Appl. Algebra Eng. Commun. Comput.;8;1997;1-355-47429-9;199
EAI Endorsed Trans. Mob. Commun. Appl.;6;2021;1-196-61416-4;218
Int. J. Knowl. Soc. Res.;5;2014;0-391-77065-9;129
J. Comput. Sci.;9;2013;1-5336-5401-8;340
J. Exp. Theor. Artif. Intell.;19;2007;1-5048-2134-3;325
Des. Codes Cryptogr.;71;2014;0-15-508737-1;100
J. Comput. Neurosci.;43;2017;0-19-206432-0;262
SIGACT News;44;2013;0-86370-775-0;375
IEEE J. Sel. Areas Commun.;32;2014;1-158-16145-X;290
CoRR;abs/1809.02893;2018;0-7944-8182-5;365
EURASIP J. Audio Speech Music. Process.;2018;2018;0-86868-115-6;350
CoRR;abs/1912.05625;2019;0-635-71327-6;124
Neural Comput. Appl.;20;2011;0-914396-79-X;165
Medical Image Anal.;75;2022;0-7648-5219-1;135
IEEE Trans. Neural Networks;4;1993;0-337-03673-X;280
Found. Trends Technol. Inf. Oper. Manag.;10;2017;0-447-55200-7;265
CoRR;abs/cmp-lg/9506004;1995;0-240-86915-X;104
J. Comput. Sci. Technol.;28;2013;1-385-97242-4;358
IEEE Trans. Signal Process.;42;1994;1-154-27914-6;201
ACM Trans. Model. Comput. Simul.;11;2001;0-582-80140-0;394
Neurocomputing;175;2016;0-289-90245-2;363
Robotics Auton. Syst.;136;2021;0-7774-4476-3;387
Telecommun. Syst.;61;2016;0-366-71621-2;251
CoRR;abs/2010.09938;2020;0-479-78637-2;173
J. Univers. Comput. Sci.;23;2017;0-85883-443-X;185
IEEE Trans. Acoust. Speech Signal Process.;33;1985;0-05-297579-7;243
ACM Trans. Model. Comput. Simul.;1;1991;0-88833-695-0;234
Data Base;53;2022;0-614-13308-4;369
Appl. Math. Comput.;359;2019;1-9866-2084-0;299
iJET;16;2021;1-62308-672-8;315
CoRR;abs/2107.12930;2021;1-882464-36-2;343
Int. J. Web Portals;1;2009;1-56781-989-3;317
Ingénierie des Systèmes d Inf.;26;2021;0-310-62180-1;390
Softw. Pract. Exp.;19;1989;0-9985123-3-8;389
CoRR;abs/2010.01362;2020;1-07-165886-7;277
Signal Process.;81;2001;1-265-65427-1;163
Proces. del Leng. Natural;44;2010;0-01-864017-6;377
CoRR;abs/2007.03793;2020;1-78486-893-0;145
CoRR;abs/2109.06547;2021;1-179-64594-4;157
Multiscale Model. Simul.;8;2010;0-318-66455-0;305
J. Cogn. Neurosci.;29;2017;0-10-318298-5;172
CoRR;abs/1811.09393;2018;0-06-520485-9;385
CoRR;abs/1507.05388;2015;0-574-49790-0;365
Pattern Recognit. Lett.;132;2020;0-531-31014-0;289
Coll. Res. Libr.;82;2021;0-601-43799-3;280
Biomed. Signal Process. Control.;69;2021;0-00-038274-4;335
J. Stat. Softw.;95;2020;0-00-737651-0;323
Inf. Res.;5;2000;0-7053-2387-0;223
J. Comb. Theory, Ser. A;86;1999;0-88540-300-2;206
IACR Cryptol. ePrint Arch.;2021;2021;1-83317-352-X;237
CoRR;abs/2112.11513;2021;0-232-00794-2;131
CoRR;abs/2001.06126;2020;0-664-64093-1;313
CoRR;abs/2109.11273;2021;0-7490-0315-4;363
Des. Codes Cryptogr.;58;2011;0-218-24787-7;374
Int. J. Technol. Manag.;86;2021;1-226-48564-2;186
Cybern. Syst.;30;1999;1-924274-20-5;279
CoRR;abs/2101.09115;2021;1-07-043920-7;221
CoRR;abs/2010.04087;2020;1-278-65971-4;154
CoRR;abs/2006.15948;2020;0-299-42129-5;283
CoRR;abs/0808.2953;2008;0-695-05646-8;169
IEEE Trans Autom. Sci. Eng.;16;2019;0-379-94244-5;147
Comput. Stat. Data Anal.;56;2012;0-372-70353-4;107
IET Circuits Devices Syst.;9;2015;1-61316-892-6;207
CoRR;abs/1803.06340;2018;0-516-13811-1;206
CoRR;abs/1904.08559;2019;1-161-14201-0;115
IEEE Trans. Biomed. Circuits Syst.;8;2014;1-5310-2121-2;154
CoRR;abs/2102.00319;2021;0-510-07420-0;304
Period. Math. Hung.;57;2008;0-310-68811-6;323
CoRR;abs/1506.00765;2015;1-4875-0726-7;120
J. Electronic Imaging;9;2000;0-07-012343-8;388
CoRR;abs/1707.08718;2017;1-383-11168-5;173
CoRR;abs/1508.02767;2015;1-917841-74-4;160
ACM Trans. Economics and Comput.;1;2013;1-378-35553-9;332
Artif. Intell.;162;2005;0-300-69626-4;163
Ingénierie des Systèmes d Inf.;17;2012;0-397-19174-X;270
CoRR;abs/1904.08067;2019;1-84315-627-X;265
CoRR;abs/1912.08633;2019;1-109-19426-9;147
CoRR;abs/1906.01993;2019;0-7557-8665-3;394
Commun. Res.;29;2002;1-193-22399-7;122
CoRR;abs/2101.08349;2021;1-133-18165-1;325
CoRR;abs/1206.3244;2012;1-241-64474-8;293
J. Assoc. Inf. Syst.;5;2004;0-17-954008-4;240
J. Exp. Theor. Artif. Intell.;18;2006;1-72239-928-7;276
J. Internet Serv. Appl.;3;2012;1-348-58389-4;172
CoRR;abs/1611.06256;2016;0-929296-45-1;364
Multim. Tools Appl.;80;2021;0-11-785896-X;191
Int. J. Heal. Inf. Syst. Informatics;1;2006;1-68953-063-4;397
J. Comput. Appl. Math.;321;2017;1-394-81165-9;165
J. Informetrics;14;2020;0-7801-0560-5;138
J. Parallel Distributed Comput.;70;2010;0-9962227-3-1;236
IET Signal Process.;6;2012;1-03-967242-6;114
Discret. Appl. Math.;211;2016;1-212-83713-4;376
J. Intell. Fuzzy Syst.;38;2020;0-18-419897-6;156
Simul. Model. Pract. Theory;15;2007;0-518-79918-2;104
IEEE Data Eng. Bull.;11;1988;1-72521-123-8;317
Electron. Notes Theor. Comput. Sci.;86;2003;0-407-89560-4;209
CoRR;abs/2109.02445;2021;0-625-06451-8;310
CoRR;abs/1907.01424;2019;1-192-64447-6;363
Art Sci. Eng. Program.;5;2021;1-71387-039-8;123
CoRR;abs/1405.1119;2014;1-943457-23-9;184
J. Philos. Log.;15;1986;0-8195-6023-5;125
Algorithms;14;2021;1-75892-276-1;132
NeuroImage;72;2013;1-72533-267-1;348
Appl. Ontology;16;2021;1-227-59873-4;359
CoRR;abs/2109.14450;2021;1-895527-65-1;319
CoRR;abs/1712.04981;2017;1-101-01824-0;225
Decis. Sci.;34;2003;1-253-91022-7;315
CoRR;abs/1712.03049;2017;0-8116-2228-2;150
CoRR;abs/2006.08839;2020;1-68045-289-4;157
CoRR;abs/1409.7575;2014;0-482-65347-7;327
IEEE Trans. Intell. Veh.;2;2017;0-625-76971-6;118
CoRR;abs/2108.06010;2021;0-86349-299-1;102
Comput. Aided Des.;24;1992;1-82010-956-9;317
CoRR;abs/1708.08765;2017;1-66333-921-X;154
CoRR;abs/1703.07479;2017;1-08-171051-9;342
CoRR;abs/cs/0609071;2006;0-505-15014-X;338
Math. Comput. Simul.;175;2020;0-19-537301-4;176
Pattern Recognit.;78;2018;1-02-051074-9;155
IEEE Trans. Auton. Ment. Dev.;6;2014;1-5385-7247-8;336
CoRR;abs/2105.00056;2021;1-02-982599-8;229
Theor. Comput. Sci.;285;2002;1-57739-466-6;305
Decis. Support Syst.;34;2003;0-19-259184-3;187
Int. J. Hum. Comput. Interact.;4;1992;0-11-498304-6;169
J. Autom. Mob. Robotics Intell. Syst.;10;2016;1-00-733335-9;143
J. Comput. Inf. Sci. Eng.;9;2009;1-346-69525-3;377
Artif. Life;14;2008;0-580-20326-3;206
BMC Bioinform.;22;2021;1-65398-168-7;282
CoRR;abs/1507.03117;2015;0-07-800553-1;337
Int. J. Sociotechnology Knowl. Dev.;12;2020;1-06-978656-X;122
Inform. Spektrum;23;2000;1-74677-190-9;291
Informatica (Slovenia);26;2002;1-03-928842-1;242
CoRR;abs/2106.02780;2021;1-923959-37-9;191
Stud Logica;67;2001;0-453-70061-6;299
ACM Journal on Computing and Cultural Heritage;11;2018;1-5267-8077-1;125
Open Comput. Sci.;11;2021;1-251-98032-5;327
Comput. methods Biomech. Biomed. Eng. Imaging Vis.;1;2013;0-240-28348-1;248
Aust. Comput. J.;14;1982;0-7123-7173-7;123
CoRR;abs/1905.06576;2019;0-259-72479-3;367
Electron. Colloquium Comput. Complex.;16;2009;1-5470-4179-X;385
CoRR;abs/1310.1840;2013;1-59199-934-0;236
IEEE Trans. Ind. Electron.;62;2015;0-02-258977-5;356
ACM SIGCHI Bull.;22;1990;1-79077-059-9;343
Log. Methods Comput. Sci.;16;2020;1-05-206375-6;284
CoRR;abs/1911.01028;2019;0-17-590391-3;173
J. VLSI Signal Process.;15;1997;1-64779-448-X;390
CoRR;abs/2008.11009;2020;1-69108-831-5;348
J. Autom. Lang. Comb.;23;2018;1-06-916695-2;400
CoRR;abs/1906.02239;2019;0-629-49989-6;294
Biosyst.;199;2021;0-12-569084-3;210
J. Comput. High. Educ.;29;2017;0-87076-491-8;307
CoRR;abs/2106.14819;2021;0-07-658204-3;286
Expert Syst. Appl.;69;2017;1-86049-506-0;325
Comput. Biol. Medicine;51;2014;0-452-51785-0;279
J. Assoc. Inf. Sci. Technol.;67;2016;1-930420-53-6;307
SIGART Newsl.;61;1977;0-7269-9942-3;205
Inf. Retr.;5;2002;0-490-32378-2;230
J. Comput. Appl. Math.;267;2014;1-08-926511-5;397
Numerische Mathematik;148;2021;1-4532-4437-9;204
CoRR;abs/1602.03930;2016;0-644-58592-7;303
CoRR;abs/1811.01745;2018;1-04-938878-X;240
CoRR;abs/2107.10806;2021;1-308-04774-6;343
Inf. Fusion;66;2021;1-64565-208-4;276
CoRR;abs/2006.13485;2020;1-85429-425-3;106
ACM Trans. Algorithms;6;2010;1-274-71689-6;108
Int. J. Soc. Robotics;10;2018;1-65482-866-1;227
CoRR;abs/1602.01161;2016;1-212-30796-8;237
Knowl. Inf. Syst.;54;2018;1-55794-811-9;172
CoRR;abs/1904.04998;2019;0-00-982433-2;266
CoRR;abs/1805.06865;2018;0-404-09930-0;331
CoRR;abs/1212.5656;2012;1-5021-7993-8;169
CoRR;abs/1810.04152;2018;1-962874-60-5;166
CoRR;abs/2101.05516;2021;1-906035-40-7;161
Inf. Control.;36;1978;1-384-14930-9;167
Aust. Comput. J.;28;1996;0-943454-73-5;127
Entropy;20;2018;1-905401-22-1;296
Discret. Math.;255;2002;0-255-30408-0;224
Artif. Intell.;53;1992;0-633-46284-5;116
Int. J. Game Theory;38;2009;0-943766-18-4;291
CoRR;abs/2106.08627;2021;1-4130-4237-6;284
CoRR;abs/2103.08249;2021;1-5060-6121-4;104
J. Comb. Theory, Ser. A;105;2004;1-68184-451-6;195
CoRR;abs/2004.12443;2020;0-04-895324-5;241
Int. J. Intell. Syst.;27;2012;1-4294-1400-6;257
J. Univers. Comput. Sci.;7;2001;0-7470-1228-8;236
Eur. J. Comb.;68;2018;0-00-953750-3;153
Int. J. Comput. Assist. Radiol. Surg.;7;2012;0-370-14061-3;259
